race_id,pos,driver,team,time,pts,driver_total_gps
2025_miami_gp,15,F. Alonso,Aston Martin,+1 Lap,0,409
2025_miami_gp,16,L. Stroll,Aston Martin,+1 Lap,0,181
2025_miami_gp,17,L. Lawson,Red Bull,DNF,0,26
2025_miami_gp,18,G. Bortoleto,Kick Sauber,DNF,0,16
2025_miami_gp,19,O. Bearman,Haas,DNF,0,18
2025_miami_gp,20,J. Doohan,Alpine,DNF,0,0
2025_emilia_romagna_gp,1,O. Piastri,McLaren,1:34:27.189,25,62
2025_emilia_romagna_gp,2,L. Norris,McLaren,+5.432s,18,144
2025_emilia_romagna_gp,3,M. Verstappen,Red Bull,+12.856s,15,224
2025_emilia_romagna_gp,4,G. Russell,Mercedes,+16.027s,12,144
2025_emilia_romagna_gp,5,C. Leclerc,Ferrari,+20.345s,10,162
2025_emilia_romagna_gp,6,L. Hamilton,Ferrari,+28.974s,8,371
2025_emilia_romagna_gp,7,A.K. Antonelli,Mercedes,+35.462s,6,13
2025_emilia_romagna_gp,8,A. Albon,Williams,+40.291s,4,120
2025_emilia_romagna_gp,9,C. Sainz Jr.,Williams,+41.083s,2,221
2025_emilia_romagna_gp,10,Y. Tsunoda,Red Bull,+43.616s,1,103
2025_emilia_romagna_gp,11,I. Hadjar,Red Bull,+44.238s,0,15
2025_emilia_romagna_gp,12,E. Ocon,Haas,+52.430s,0,158
2025_emilia_romagna_gp,13,P. Gasly,Alpine,+53.927s,0,169
2025_emilia_romagna_gp,14,L. Lawson,Red Bull,+55.318s,0,26
2025_emilia_romagna_gp,15,F. Alonso,Aston Martin,+58.432s,0,409
2025_emilia_romagna_gp,16,L. Stroll,Aston Martin,+59.874s,0,181
2025_emilia_romagna_gp,17,N. Hülkenberg,Kick Sauber,+1 Lap,0,243
2025_emilia_romagna_gp,18,G. Bortoleto,Kick Sauber,+1 Lap,0,16
2025_emilia_romagna_gp,19,O. Bearman,Haas,DNF,0,18
2025_emilia_romagna_gp,20,J. Doohan,Alpine,DNF,0,0
2025_monaco_gp,1,O. Piastri,McLaren,1:47:03.221,25,62
2025_monaco_gp,2,C. Leclerc,Ferrari,+1.945s,18,162
2025_monaco_gp,3,L. Norris,McLaren,+3.882s,15,144
2025_monaco_gp,4,G. Russell,Mercedes,+8.124s,12,144
2025_monaco_gp,5,M. Verstappen,Red Bull,+9.673s,10,224
2025_monaco_gp,6,L. Hamilton,Ferrari,+11.827s,8,371
2025_monaco_gp,7,A.K. Antonelli,Mercedes,+17.502s,6,13
2025_monaco_gp,8,A. Albon,Williams,+22.794s,4,120
2025_monaco_gp,9,C. Sainz Jr.,Williams,+25.081s,2,221
2025_monaco_gp,10,Y. Tsunoda,Red Bull,+28.439s,1,103
2025_monaco_gp,11,I. Hadjar,Red Bull,+30.126s,0,15
2025_monaco_gp,12,E. Ocon,Haas,+36.942s,0,158
2025_monaco_gp,13,P. Gasly,Alpine,+38.411s,0,169
